"구분","항목","단위","2010.01 월","2010.02 월","2010.03 월","2010.04 월","2010.05 월","2010.06 월","2010.07 월","2010.08 월","2010.09 월","2010.10 월","2010.11 월","2010.12 월","2011.01 월","2011.02 월","2011.03 월","2011.04 월","2011.05 월","2011.06 월","2011.07 월","2011.08 월","2011.09 월","2011.10 월","2011.11 월","2011.12 월","2012.01 월","2012.02 월","2012.03 월","2012.04 월","2012.05 월","2012.06 월","2012.07 월","2012.08 월","2012.09 월","2012.10 월","2012.11 월","2012.12 월","2013.01 월","2013.02 월","2013.03 월","2013.04 월","2013.05 월","2013.06 월","2013.07 월","2013.08 월","2013.09 월","2013.10 월","2013.11 월","2013.12 월","2014.01 월","2014.02 월","2014.03 월","2014.04 월","2014.05 월","2014.06 월","2014.07 월","2014.08 월","2014.09 월","2014.10 월","2014.11 월","2014.12 월","2015.01 월","2015.02 월","2015.03 월","2015.04 월","2015.05 월","2015.06 월","2015.07 월","2015.08 월","2015.09 월","2015.10 월","2015.11 월","2015.12 월","2016.01 월","2016.02 월","2016.03 월","2016.04 월","2016.05 월","2016.06 월","2016.07 월","2016.08 월","2016.09 월","2016.10 월","2016.11 월","2016.12 월","2017.01 월","2017.02 월","2017.03 월","2017.04 월","2017.05 월","2017.06 월","2017.07 월","2017.08 월","2017.09 월","2017.10 월","2017.11 월","2017.12 월","2018.01 월","2018.02 월","2018.03 월","2018.04 월","2018.05 월","2018.06 월","2018.07 월","2018.08 월","2018.09 월","2018.10 월","2018.11 월","2018.12 월","2019.01 월","2019.02 월","2019.03 월","2019.04 월","2019.05 월","2019.06 월","2019.07 월","2019.08 월","2019.09 월","2019.10 월","2019.11 월","2019.12 월","2020.01 월","2020.02 월","2020.03 월","2020.04 월","2020.05 월","2020.06 월","2020.07 월","2020.08 월","2020.09 월","2020.10 월","2020.11 월","2020.12 월","2021.01 월","2021.02 월","2021.03 월","2021.04 월","2021.05 월","2021.06 월","2021.07 월","2021.08 월","2021.09 월","2021.10 월","2021.11 월","2021.12 월","2022.01 월","2022.02 월","2022.03 월","2022.04 월","2022.05 월","2022.06 월","2022.07 월","2022.08 월","2022.09 월","2022.10 월","2022.11 월","2022.12 월",
"의성","월평균","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.5**",".6",".5",".4",".4",".4",".4",".3",".4",".4",".6",".7",".6",".5",".4",".4",".4",".3",".4",".4",".4",".4",".5",".5",".5",".5",".4",".4",".4",".3",".3",".3",".3",".3",".4",".4",
"울릉도","월평균","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.2**",".2",".2",".2",".3",".3",".2",".3",".4",".3",".3",".3",".2",".2",".2",".2",".2",".4",".4",".4",".3",".3",".2",".2",".2",".2",".2",".2",".3",".3",".4",".4",".3",".2",".3",".2",".2",".2",".2",".2",".3",".3",
"포항","월평균","",".4",".4",".4",".4",".5",".5",".4",".4",".4",".5",".6",".5",".4",".6",".5",".5",".6",".6",".5",".4",".5",".5",".6",".4",".5",".5",".4",".4",".5",".5",".5",".5",".4",".5",".5",".5",".7",".8",".6",".6",".6",".5",".4",".5",".5",".5",".5",".5",".7",".6",".6",".6",".5",".6",".7",".7",".5",".6",".6",".6",".7",".6",".7",".8",".7",".9",".6",".6",".5",".5",".6","0.6*",".5",".5",".6",".6",".6",".5",".5",".5",".5",".5",".5",".6",".7",".7",".6",".5",".5",".5",".5","0.5*",".5",".4",".4",".5",".5",".5",".5",".5",".5",".4",".5",".3",".4",".5",".4",".5",".5",".5",".4",".4",".4",".5",".3",".4",".4",".4",".5",".6",".6",".5",".5",".4",".4",".4",".4",".3",".4",".5",".5",".6",".6",".5",".4",".4",".4",".4",".4",".5",".5",".5",".5",".5",".5",".5",".4",".4",".4",".3",".3",".3",".3",".4",".5",".4",
"구미","월평균","",".9",".8",".7",".5",".3",".4","0.3*",".3",".3",".5",".6",".6",".4",".6",".5",".4",".4",".5",".4",".4",".4",".5",".6",".5",".7",".7",".7",".7",".6",".5",".6",".5",".4",".5",".6",".8","1",".8",".7",".6",".6",".6",".5",".5",".5",".5",".6",".7",".8",".6",".6",".6",".4",".5",".5",".4",".5",".5",".7",".7",".9","1",".8","0.8*","0.5*","0.6*","0.5*","0.5*","0.5*","0.6*","0.7*","0.8*","0.8*","0.7*","0.7*","0.5*","0.5*","0.6*","0.5*","0.5*",".5",".5",".6",".7",".6",".6",".7",".5",".5",".6",".6",".6",".6",".5",".5",".5",".6",".6",".5",".5",".5",".5",".5",".4",".4",".4",".5",".5",".5",".5",".4",".4",".4",".4",".3",".4",".3",".4",".5",".6",".6",".5",".4",".5",".4",".4",".4",".3",".3",".4","0.4*",".5",".5",".6",".5",".4",".4",".4",".4",".4",".4",".3",".4",".4",".4",".4",".4",".3",".3",".3",".3",".2",".2",".3",".3",".4",
"김천","월평균","",".6",".6",".4",".4",".4",".4",".3",".3",".3",".4",".6",".6",".4",".6",".4",".3",".3",".3",".2",".3",".3",".3",".5",".5",".6",".5",".4",".4",".4",".4",".3",".3",".3",".3",".4",".6",".8",".5",".5",".3",".3",".3",".6",".5",".3",".4",".5",".6",".8",".6",".6",".6",".6",".6",".5",".3",".3",".5",".8",".7",".8",".6",".6",".3",".4",".4",".3",".2",".2",".4",".5",".7",".7",".5",".6",".6",".5",".5",".6",".5","0.4**",".4",".6",".7",".6",".6",".7",".6",".6",".6",".4",".3","0.3**","0.3**",".5",".6",".8",".8",".5",".4",".7",".5",".3",".3",".2",".4",".5",".5",".6","0.6**",".4",".4",".3",".3",".3",".3",".3","0.3*","0.3*",".7",".8",".5",".5",".5",".4",".3",".3",".3",".4",".3",".5",".6",".6",".4",".4",".3",".2",".3",".3",".2",".2",".3",".4",".4",".5",".4",".3",".3",".2",".2",".2",".3",".2",".3",".4",".4",
"경주","월평균","",".5",".4",".3",".3",".3",".3",".3",".3",".2",".3",".5",".5",".4",".6",".4",".3",".3",".3",".3",".3",".2",".4",".6",".7",".6",".4",".4",".2",".3",".2",".3",".3",".4",".4",".4",".6",".7",".6",".6",".5",".5",".4",".4",".4",".2",".3",".4",".6",".7",".5",".5",".4",".3",".2",".2",".7",".3",".5","1",".9",".6",".5",".4",".3",".2",".3",".6",".4",".3",".4",".4",".5",".5",".4",".4",".4",".4",".2",".3",".3","0.5**","0.4**","0.5*","0.4*",".5",".5",".5",".4","0.3**",".4",".4",".3",".3",".3",".4",".5",".5","0.4**",".5",".5",".5",".3",".3",".3",".3",".3",".4",".3",".3",".3",".2",".2",".3","0.4**",".3",".4",".4",".4",".4",".5",".4",".3",".2",".2",".3",".3",".3",".3",".3",".3",".4",".4",".4",".4",".3",".3",".3",".3",".3",".3",".3",".3",".3",".3",".3",".3",".3",".3",".3",".2",".3",".3",".3",".3",".3",".3",
"안동","월평균","",".7",".6",".3",".4",".3",".3",".2",".2",".2",".3",".5",".6",".6",".7",".5",".4",".3",".3",".2",".2",".2",".3",".5",".7",".7",".5",".4",".4",".3",".2",".2",".3",".2",".2",".4",".6",".9",".5",".5",".4",".3",".4",".4",".2",".2",".2",".5",".7","1",".8",".8",".8",".7",".6",".6",".2",".2",".3",".5",".7",".7",".7",".6",".5",".5",".4",".3",".2",".2",".4",".5",".7",".6",".7",".7",".7",".6",".6",".5",".5","0.4**",".3",".5",".6",".6",".6",".6",".6",".5",".5",".5",".3",".4","0.7*",".7",".7",".8",".8",".7",".6",".5",".4",".3",".5",".5",".6","0.7**","","","0.4**",".3",".2",".3",".3",".2",".3",".2",".3",".4",".8",".7",".7",".4",".4",".3",".3",".2",".2",".3",".4",".6",".6",".7",".7",".5",".4",".4",".4",".2",".3",".3",".3",".6",".7",".7",".5",".5",".3",".2",".2",".2",".3",".2",".3",".5",".6",
"영주","월평균","","1.5","1.4",".7",".5",".4",".2",".4",".3",".4",".7","1.4","1.6","1.1","1.5","1","1",".4",".3",".3",".4",".5",".7","1.1","1.2","1.5","1.1",".8",".5",".4",".7",".3",".5",".9",".6",".7","1.3","1.7",".9",".9",".5",".4",".3",".6","0.2*",".3",".5",".9","1.4","1.5","1.2",".8",".5",".4",".3",".3",".3",".3",".6","1","1.2","1.4","1.2","0.9*",".6",".4",".3",".3",".3",".3",".5",".8","1.3","1.2","1.1",".9",".6",".4",".3",".3",".3",".3",".5",".8","1.2","1.2","1.2",".8",".7",".6",".5",".5",".4",".4",".5",".8",".9",".9",".9",".7",".5",".4",".4",".3",".2",".3",".4",".8",".9",".8",".7",".6",".3",".3",".3",".3",".3",".3",".5",".7","0.7**","0.8**",".7",".6",".5",".5",".5",".3",".3",".4",".4",".5",".7",".7",".6",".6",".4",".5",".4",".3",".3",".3",".5",".7",".7",".8",".7",".5",".4",".4",".4",".4",".3",".3",".4",".6",".7",
"경산","월평균","","","","","","","","","","","","","","","","","","","","","","","","","","","","",".4",".4",".3",".3",".3",".3",".4",".5",".6",".7",".6",".5",".4",".4",".4",".3",".3",".3",".3",".5",".6",".7",".5",".5",".4",".4",".4",".3",".3",".4",".4",".6",".6",".6",".6",".5",".4",".4",".4",".3",".3",".4",".5",".5",".7",".6",".6",".6",".5",".5",".4",".4",".4",".4",".4",".5",".6",".6",".6",".6",".5",".5",".5",".4",".4",".4",".4",".6",".6",".6",".6",".5",".5",".4",".3","0.3*",".6",".5",".4",".7",".7",".6",".5",".5",".4",".4",".4",".3",".5",".4",".3",".5",".6",".6",".5",".4",".4",".3",".3",".4",".3",".4",".4",".5",".5",".6",".5",".5",".4",".4",".5",".4",".4",".4",".4",".5",".5",".5",".5",".5",".4","0.4*",".3",".3",".3",".3",".3",".4",".4",
"상주","월평균","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.5**",".5",".5",".5",".4",".4",".3",".2",".3",".4",".5",".7",".7",".6",".5",".5",".4",".4",".3",".3",".3",".3",".3",".4",".6",".5",".5",".4",".3",".3",".3",".3",".3",".3",".4",".4",".5",".5",".4",".3",".3",".3",".3",".3",".3",".3",".4",".5",".6",".5",".5",".5",".4",".3",".3",".3",".2",".3",".3",".4",".4",
"칠곡","월평균","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.6**",".5",".4",".4",".3",".3",".3",".3",".3",".4",".4",".5",".6",".6",".5",".5",".4",".3",".3",".3",".4",".2",".2",".3",".5",".5",".4",".3",".3",".3",".3",".3",".3",".3",".3",".4",".4",".4",".4",".3",".3",".3",".3",".3",".2",".2",".4",".4",".5",".5",".4",".4",".3",".3",".3",".3",".2",".2",".3",".4",".4",
"울진","월평균","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.4*",".4",".3",".3",".4",".4",".4",".3",".3",".4",".5",".4",".5",".4",".4",".4",".3",".3",".4",".4",".4",".4",".4",".4",".4",".3",".3",".3",".3",".3",".3",".3",".5",".4",".3",".4",".3",".5",".3",".3",".3",".2",".2",".2",".2",".3",".3",
"봉화","월평균","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",".3",".3",".2",".3",".2",".3",".4",".5",".5",".5",".4",".3",".3",".3",".3",".3",".3",".4",".4",".6",".5",".5",".4",".4",".3",".3",".3",".3",".3",".4",".5",".5",".7",".5",".5",".3",".3",".3",".3",".3",".3",".3","0.4*",".5",
"고령","월평균","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",".3",".4",".5",".5",".5",".4",".4",".4",".3",".3",".3",".3",".3",".4",".5",".5",".6",".6",".6","0.5**",".6",".5","0.5*","0.5*",".4",".5",".3",".5",".5",".6",".5",".5",".6",".5",".4",".4",".4","0.5*","0.6**",
"군위","월평균","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.5**",".5",".4",".4",".4",".4",".4",".3",".4",".4",".4",".5",".5",".5",".4",".4",".4",".4",".3",".4",".4",".4",".4",".4",".5",".4",".3",".2",".2",".1",".2",".2",".1",".2",".3",".4",
"성주","월평균","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.6**",".6",".6","0.5*",".4",".2",".4",".3",".6",".6",".7",".6",".5",".4",".4",".4","0.4*",".4",".4",".4",".4",".6",".5",".4",".6",".5",".5",".5",".5",".4",".4",".3",".5",".5",
"예천","월평균","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",".2",".2",".3",".3",".3",".3",".3",".3",".3",".3",".3",".3",".3",".2",".2",".3",".2",".3",".3",".2",".3",".3",".3",".3",".3",".3",".2",".2",".2",".2",".2",".2",".2",".2",
"청도","월평균","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",".3",".3",".3",".3",".3",".3",".3",".3",".4",".4",".5",".4",".5",".4",".3",".3",".3",".3",".3",".3",".3",".4",".5",".5",".4",".4",".3",".3",".3",".2",".2",".2",".3",".3",".3",
"청송","월평균","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.2**",".3",".3",".3",".3",".3",".3",".4",".4",".3",".3",".4",".3",".3",".3",".3",".3",".3",".3",".3",".3",".3",".4",".4",".4",".3",".3",".3",".3",".2",".2",".2",".3",".3",
"영양","월평균","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",".3",".3",".3",".3",".2",".2",".2",".3",".3",".5",".4",".3",".3",".3",".3",".3",".2",".2",".2",".2",".3",".3",".3",".3",".3",".3",".3",".2",".2",".2",".2",".2",".2",".3",
"문경","월평균","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.4*",".4",".3",".3",".3",".2",".2",".3",".3",".3",".4",".4",".4",".4",".3",".3",".3",".3",".3",".3",".3",".4",".4",".4",".4",".4",".3",".3",".2",".2",".2",".2",".3",".4",".4",
"도평균","월평균","",".7",".6",".5",".4",".4",".4",".4",".4",".3",".5",".7",".7",".5",".7",".5",".5",".4",".5",".4",".4",".4",".5",".7",".7",".7",".6",".5",".5",".5",".4",".4",".4",".4",".5",".5",".7",".9",".7",".6",".5",".5",".5",".5",".4",".4",".4",".5",".7",".8",".6",".6",".6",".5",".5",".5",".5",".4",".5",".7",".7",".8",".8",".7",".6",".5",".6",".5",".5",".4",".5",".6",".7",".7",".6",".6",".6",".5",".5",".5",".4",".5",".5",".6",".7",".7",".7",".6",".5",".5",".5",".5",".5",".5",".4",".5",".5",".6",".6",".5",".5",".5",".4",".4",".4",".4",".4",".5",".5",".6",".5",".4",".4",".4",".4",".3",".4",".3",".4",".5",".6",".5",".5",".4",".4",".4",".3",".3",".3",".3",".4",".4",".5",".5",".5",".4",".4",".4",".4",".3",".4",".4",".4",".4",".5",".5",".4",".4",".3",".3",".3",".3",".3",".3",".3",".4",".4",
"창원","월평균","",".6",".6",".5",".5",".5",".4",".4","0.4*","0.4*",".4",".6",".6",".4",".7",".4",".4",".4",".4",".3",".3",".3",".4",".5",".5",".6",".6",".5",".5",".5",".4",".4",".4",".4",".5",".5",".6",".8",".7",".7",".6",".6",".6",".4",".5",".4",".4",".6",".7",".8",".7",".6",".6",".5",".4",".4",".4",".4",".4",".6",".6",".6",".5",".5",".4",".4",".4",".4",".4",".4",".5",".5",".6",".6",".6",".5",".5",".5",".4",".3",".4",".4",".4",".5",".6",".5",".5",".5",".5",".5",".4",".4",".3",".4",".4",".6",".6",".6",".5",".5",".4",".4",".4",".4",".3",".4",".4",".6",".5",".5",".5",".5",".4",".4",".4",".4",".5",".4",".4",".5",".6",".5",".5",".4",".4",".4",".4",".4",".3",".4",".4",".4",".5",".5",".5",".4",".4",".4",".4","0.3*","0.4*","0.4*",".4",".5",".5",".5",".5",".5",".4",".4",".3",".4",".4",".3",".4",".5",".5",
"마산","월평균","",".4",".4",".3",".3",".3",".3",".2",".2",".3",".3",".5",".4",".4",".5",".4",".3",".3",".3",".3",".3",".3",".4",".5",".4",".5",".5",".4",".4",".4",".3",".3",".2",".3",".4",".4",".4",".5",".4",".4",".3",".3",".3",".3",".3",".2",".3",".3",".4",".5",".4",".4",".3",".3",".3",".3",".2",".2",".3",".3",".4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"진주","월평균","",".6",".5",".4",".5",".4",".3",".3",".4","0.4*",".4",".6",".6",".5",".7",".5",".5",".4",".4",".3","0.4*","0.4*",".4",".5",".5",".6",".5",".6",".5",".5",".3",".5",".3",".3",".5",".5",".6",".8",".7",".6",".5",".5",".4",".4",".5",".4",".4",".6",".6",".8",".7",".6",".5",".4",".4",".4",".3",".4",".4",".6",".6",".6",".6",".6",".5",".5",".4",".5",".4",".5",".6",".5",".7",".6",".6",".6",".5",".5",".5",".4",".4",".4",".4",".6",".7",".7",".7",".6",".6",".4",".4",".4",".3",".4",".4",".7",".7",".6",".5",".5",".5",".4",".4",".4",".4",".5",".5",".6",".5",".6",".5",".6",".4",".5",".4",".4",".5",".5",".5",".5",".6",".5",".5",".4",".4",".4",".4",".4",".4",".4","0.5*","0.5*",".5",".5",".5",".5","0.5*","0.5*","0.6*","0.4**","0.5*","0.5*",".5",".5",".6",".7",".5",".5",".4",".4",".4",".5","0.5*","0.4*",".4",".5",".5",
"진해","월평균","",".7",".7",".3",".2",".3",".3",".3",".2",".3",".4",".6",".5",".4",".5",".4",".3",".3","0.2**","**","**","0.2**",".3",".4",".4",".4",".4",".4",".4",".4",".3",".3",".2",".3",".3","**","**",".7",".6",".7",".6",".6",".5",".4",".4",".3",".4",".5",".6",".9",".8",".7",".7",".5",".4",".4",".3",".4",".4",".4",".5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"하동","월평균","",".4",".4",".3",".4",".4",".2",".2",".3",".3",".5",".6",".6",".4",".4",".3",".4",".3",".4",".4",".2",".3",".4",".4",".4",".4",".4",".4",".4",".4",".3",".3",".3",".3",".3",".4",".4",".5",".5",".5",".4",".4",".4",".3",".3",".3",".3",".4",".4",".5",".5",".4",".4",".4",".4",".4",".3",".3",".3",".3",".3",".4",".5",".5",".4",".4",".4",".3",".3",".3",".3",".4",".4",".4",".4",".4",".4",".3",".3",".3",".4",".3",".4",".4",".5",".5",".4",".5",".5",".5",".4",".4",".3",".4",".3",".4",".4",".4",".5",".4",".4",".3",".3",".3",".3",".3",".3",".4",".4",".5",".5",".4",".3",".3",".3","","","",".3",".4",".4",".4",".4","0.4*",".4",".4",".4",".3",".3",".3",".4",".4",".5",".5",".4",".4",".4",".4",".4",".3",".3",".3",".3",".4",".4",".5",".4",".4",".4",".4",".3",".3",".3",".3",".3",".4",".4",
"김해","월평균","",".4",".4",".3",".3",".3",".3",".2",".3",".4",".4",".5",".5",".4",".5",".4",".4",".3",".3",".3",".3",".3",".4",".4",".4",".4",".4",".4",".4",".3",".3",".3",".2",".3",".3",".4",".4",".6",".5",".5",".4",".4",".4",".3",".3",".3",".3",".4",".4",".5",".4",".4",".4",".4",".3",".3",".3",".3","0.4*",".4",".4",".5",".5",".4",".4",".4",".4",".4",".4",".3",".4",".5",".5",".5",".4",".5",".4",".4",".4",".3",".3",".4",".4",".5",".5",".5",".4",".4",".4",".4",".4",".3",".3",".3",".3",".5",".5",".5",".5",".4",".4",".4",".4",".3",".3",".3",".3",".5",".5",".4",".4",".4",".3",".3",".3",".3",".4",".3",".3",".4",".5",".5",".5",".4",".3",".3",".3",".3",".3",".3","0.4*",".4",".5",".5",".4",".4",".4",".4",".3",".3",".3",".3",".4",".5",".5",".5",".4",".4",".4",".4",".3",".4",".4",".4",".4",".5",".4",
"양산","월평균","",".8",".9",".6",".4",".3",".3",".3","0.3*","0.4**",".4",".5",".5",".4",".6",".4",".5",".4","0.4*",".3",".2",".2",".4",".4",".4",".5",".5",".4",".4",".4",".4",".3",".3",".3",".4","0.4**","0.5**",".7",".6",".5",".4",".5",".3",".3",".3",".3",".4",".5",".6",".7",".5",".6",".4",".3",".3",".3",".3",".3",".4",".5",".5",".6",".4",".4",".3",".3",".3",".4",".4","0.4**",".5",".4",".6",".5",".5",".5",".5",".4",".4",".2",".3",".3",".3",".4",".5",".5",".5",".6",".5",".4",".4",".3",".3",".4",".4",".5",".6",".6",".6",".5",".5",".4",".4",".4",".4",".5",".6",".6",".6",".6",".6",".5",".4",".4",".4",".4",".4",".4",".4",".5",".6",".6",".5",".4",".4",".4",".4",".4",".3",".4",".5",".5",".5",".5",".5",".4",".4",".4",".4","0.4*","0.5*","0.5*",".5",".5",".5",".5",".5",".5",".4",".4",".3",".4",".4",".4",".4",".5",".4",
"거제","월평균","","","","","","","","","","","","","","","","","","","","","","0.2**",".3",".4",".4",".4",".3",".4",".4",".4",".3",".3",".3",".3",".4",".3",".4",".5",".5",".6",".5",".6",".6",".5",".5",".4",".3",".4",".3",".5",".6",".5",".5",".4",".4",".4",".3",".3",".3",".4",".4",".4",".5",".4",".4",".4",".5",".4",".5",".4",".4",".5",".6",".6",".7",".4",".4",".4",".4",".4",".4",".4",".4",".5",".6",".5",".4",".5",".5",".4",".4",".5",".5",".5",".5",".5",".6","0.5**","",".5",".5",".4",".4",".5",".5",".5",".4",".6",".5",".5",".5",".6",".4",".5",".5",".5",".5",".5",".4",".5",".5",".5",".4",".4",".4",".5",".4",".5",".4",".4",".4",".4","0.5**","0.4*",".5",".5",".5",".6",".4",".4",".4",".4",".5",".6",".5",".5",".4",".4",".4",".3",".3",".3","0.4**","0.5**","0.4*",".5",".5",
"사천","월평균","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",".6",".5",".5",".5",".5",".4",".3",".4",".4",".4",".5",".7",".7",".6",".6",".5",".6",".6",".5",".5",".4",".4",".5",".5",".6",".6",".5",".4",".5",".5",".5",".5",".5",".5",".5",".5",".5",".5",".4",".4",".4",".3",".3",".2",".2",".3",".4",".5",".5",".5",".5",".4",".4",".4",".4",".3",".4",".4",".6",".6",".6",".6",".5",".5",".4",".4",".4",".3",".4",".4",".5",".5",".6",".5",".4",".4",".5",".3",".2",".5",".4",".4",".4",".4",".5",".5",".4",".4",".4",".4",".3",".3",".3",".4",".4","0.5*",".4",".4",".4",".4",".4",".4",".3",".3",".3",".4",".5",".5",".7",".5",".5",".4",".4",".3",".4",".3",".3",".4",".5",".5",
"밀양","월평균","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.5**",".5",".4",".4",".3",".2",".2",".2",".2",".2",".2",".2",".3",".2",".3",".2",".3",".3",".3",".3",".5",".3",".2",".2",".2",".2",".3",".4",".3",".3",".2",".2",".2",".2",".3",".4",".3",".3",".3",".2",".3",".3",".2",".2",".2",".3",".3",".4",".5",".5",".4",".3",".3",".4",".3",".3",".3",".3",".2",".3",".3",".4",
"통영","월평균","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.4**",".5",".5",".4",".5",".3",".3",".2",".2",".2",".2",".3",".4",".3",".5",".5",".4",".3",".3",".3",".2",".3",".3",".3",".3",".4",".4",".3",".3",".3",".3",".3",".3",".2",".2",".3",".3",".4",".4",".4",".3",".3",".3",".2",".2",".3",".3",".3",".5",".4",".5",".4",".4",".4",".5",".4",".4",".4",".4",".4",".5",".5",
"고성","월평균","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",".6",".5",".4",".4",".5",".4",".3",".4",".4",".3",".4",".4",".5",".5",".4",".4",".4",".3",".3",".3",".4",".4",".4",".5",".5",".5",".3",".3",".4",".4",".3",".3",".3",".4",".4",".4",".5",".5",".5",".5",".4",".4",".3",".3",".3",".3",".5",".4",
"거창","월평균","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",".6",".6",".5",".4",".3",".4",".4",".4",".3","",".5",".5",".6",".5",".4",".4",".3",".3",".3",".2",".3",".4",".5",".5",".4",".4",".4",".3",".3",".3",".2",".2",".2",".3",".4",".5",".6",".5",".5",".4","0.3*","0.2*",".3",".3",".2",".4",".5",".4",
"함안","월평균","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",".6",".6",".5",".4",".5",".5",".5",".6",".5","",".5",".5",".5",".6",".4",".4",".3",".4",".4",".4",".3",".4",".4",".5",".5",".5",".4",".4",".4",".4",".3",".3",".3",".3",".5",".6",".6",".6",".6",".5",".5",".6",".7",".5",".5",".3",".5",".5",
"함양","월평균","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",".4",".5",".5",".4",".3",".4",".3",".4",".4",".4",".4",".4",".5",".4",".4",".4",".4",".4",".4",".4",".4",".3",".4",".4",".5",".4",".3",".3",".3",".3",".3",".2",".2",".3",".4",".4",".5",".4",".4",".4",".3",".4",".3",".3",".3",".3",".4",".4",
